|,|__state,|__site_name,|__county,|__info,|__latitude,|__longitude,|__elev,|__station
400,UT,Clear Creek #2 ,Utah,Upper Soldier Creek ,39.89275,-111.25154,2388.4,CRKU1
401,OR,Clear Lake ,Wasco,Clear Creek ,45.18832,-121.6916,1161.3,CLKO3
402,WY,Cloud Peak Reservoir ,Johnson,Upper South Piney Creek ,44.40343,-107.06057,3005.3,CPKW4
403,MT,Clover Meadow ,Madison,Ruby Creek ,45.01788,-111.8456,2621.3,CMDM8
405,WY,Cold Springs ,Fremont,Dry Creek ,43.27676,-109.44585,2935.2,COSW4
406,OR,Cold Springs Camp ,Klamath,Upper Fourmile Creek ,42.53305,-122.17683,1810.5,CSCO3
407,MT,Cole Creek ,Carbon,Skunk Creek-Clarks Fork Yellowstone Creek ,45.19405,-109.34548,2392.7,CLCM8
408,CO,Columbine ,Jackson,Upper Grizzly Creek ,40.3948,-106.60408,2792,COLC2
409,CO,Columbine Pass ,Montrose,Potter Creek ,38.41795,-108.38249,2865.1,CPSC2
410,MT,Combination ,Granite,Upper South Fork Lower Middle Creek ,46.76361,-113.39358,1706.9,CMBM8
411,ID,Cool Creek ,Clearwater,Cold Springs Creek-North Fork Clearwater River ,46.76361,-115.29528,1914.1,COLI1
412,CO,Copeland Lake ,Boulder,Headwaters North Saint Vrain Creek ,40.20778,-105.56861,2621.3,COPC2
413,MT,Copper Bottom ,Lewis And Clark,Copper Creek ,47.05678,-112.595,1585,COPM8
414,MT,Copper Camp ,Lewis And Clark,Copper Creek ,47.08158,-112.72955,2118.4,CPCM8
415,CO,Copper Mountain ,Summit,West Tenmile Creek ,39.48954,-106.17095,3215.6,CPMC2
416,AZ,Coronado Trail ,Apache,Coleman Creek ,33.80392,-109.15282,2560.3,CNDA3
417,NV,Corral Canyon ,Elko,Corral Creek ,40.27551,-115.54017,2573.7,COLN2
418,WA,Corral Pass ,Pierce,Silver Creek-White River ,,,,
419,WY,Cottonwood Creek ,Lincoln,Cottonwood Creek ,42.6459,-110.81482,2337.8,CLWW4
420,WA,Cougar Mountain ,King,North Fork Green River ,47.27666,-121.67138,975.4,CUMW1
422,OR,County Line ,Umatilla,Middle Meadow Creek ,45.19107,-118.55015,1472.2,COLO3
423,ID,Cozy Cove ,Valley,Deadwood River-Deadwood Reservoir ,44.28783,-115.65527,1639.8,COZI1
424,ID,Crab Creek ,Clark,Upper Camas Creek ,44.43672,-111.99348,2090.9,CRBI1
425,ID,Crater Meadows ,Clearwater,Middle Weitas Creek ,46.56306,-115.28833,1816.6,CRAI1
426,CO,Crosho ,Rio Blanco,Outlet Hunt Creek ,40.16745,-107.0575,2773.7,CRSC2
427,MT,Crystal Lake ,Fergus,Big Rock Creek ,46.78942,-109.51205,1844,CRYM8
428,CA,Css Lab ,Nevada,Rattlesnake Creek-South Yuba River ,39.32565,-120.36807,2100.7,CSSC1
430,CO,Culebra #2 ,Costilla,Headwaters Culebra Creek ,37.20945,-105.19959,3200.4,CULC2
431,CO,Cumbres Trestle ,Conejos,Wolf Creek ,37.01878,-106.45179,3060.2,CUMC2
432,UT,Currant Creek ,Wasatch,Current Creek Reservoir ,40.35747,-111.08993,2412.2,CUCU1
433,MT,Daly Creek ,Ravalli,Daly Creek ,46.18367,-113.8533,1761.7,DALM8
434,OR,Daly Lake ,Linn,Pyramid Creek ,44.52147,-122.08718,1124.7,DALO3
435,UT,Daniels-Strawberry ,Wasatch,Willow Creek-Strawberry River ,40.2953,-111.25677,2440.5,DSTU1
436,MT,Darkhorse Lake ,Beaverhead,Headwaters Big Hole River ,45.17367,-113.5846,2621.3,DHLM8
437,MT,Deadman Creek ,Meagher,Headwaters Sheep Creek ,46.79279,-110.67545,1966,DDMM8
438,CO,Deadman Hill ,Larimer,North Fork Cache La Poudre River-Panhandle Creek ,40.80571,-105.76799,3115.1,DDMC2
439,ID,Deadwood Summit ,Valley,Stratton Creek-Deadwood River ,44.54483,-115.563,2090.9,DDSI1
440,OR,Derr. ,Wheeler,Jackson Creek ,44.4465,-119.93012,1783.1,DERO3
442,OR,Diamond Lake ,Douglas,Lake Creek ,43.18787,-122.14003,1609.3,DIAO3
443,NV,Diamond Peak ,Eureka,Torre Creek-Slough Creek-Frontal Diamond Valley ,39.56361,-115.84421,2443.3,DPKN2
444,UT,Dills Camp ,Sanpete,Beaver Creek ,39.04554,-111.46875,2812.4,DCPU1
445,NV,Disaster Peak ,Humboldt,Sage Creek ,41.96737,-118.18934,1907.7,DSPN2
446,CA,Dismal Swamp ,Modoc,Dismal Creek-Deep Creek ,41.99127,-120.18033,2243.3,DMLC1
448,MT,Divide ,Madison,Headwaters Ruby River ,44.79317,-112.05645,2377.4,DIVM8
449,WY,Divide Peak ,Carbon,North Fork Savery Creek ,41.30398,-107.15241,2706.6,DVDW4
450,ID,Dollarhide Summit ,Blaine,Placer Creek-Warm Springs Creek ,43.6025,-114.67417,2566.4,DHDI1
451,WY,Dome Lake ,Sheridan,West Fork Big Goose Creek ,44.57462,-107.29537,2706.6,DMLW4
452,UT,Donkey Reservoir ,Wayne,Donkey Creek-Fremont River ,38.2084,-111.47412,2986.1,DRSU1
453,NV,Dorsey Basin ,Elko,Lower Secret Creek ,40.89343,-115.21104,2408.5,DRBN2
454,NV,Draw Creek ,Elko,Upper T Creek ,41.66198,-115.32397,2219.9,DRCN2
455,UT,Dry Bread Pond ,Cache,Headwaters East Fork Little Bear River Canyon ,41.41289,-111.5377,2529.8,DBPU1
457,CO,Dry Lake ,Routt,City of Steamboat Springs-Yampa River ,40.53397,-106.7813,2560.3,DRLC2
458,MT,Dupuyer Creek ,Teton,Upper Dupuyer Creek ,48.06341,-112.7573,1752.6,DPYM8
460,WY,East Rim Divide ,Sublette,Fisherman Creek ,43.13097,-110.2023,2417.1,ERDW4
461,UT,East Willow Creek ,Grand,Tenmmile Canyon ,39.31213,-109.53179,2530.1,EWCU1
462,CA,Ebbetts Pass ,Alpine,Silver Creek ,38.5497,-119.80468,2639.6,EBTC1
463,CA,Echo Peak ,El Dorado,Upper Truckee River-Frontal Lake Tahoe ,38.849,-120.0795,2332.3,ECOC1
464,OR,Eilertson Meadows ,Baker,Rock Creek ,44.86887,-118.11387,1679.5,EIMO3
465,CO,El Diente Peak ,Dolores,Cayton Valley-Dolores River ,37.78617,-108.02155,3048,EDSC2
466,ID,Elk Butte ,Clearwater,Upper Elk Creek ,46.83998,-116.12233,1734.3,ELBI1
467,CO,Elk River ,Routt,Steamboat Lake ,40.84781,-106.96871,2651.8,ELKC2
468,WY,Elkhart Park G.S. ,Sublette,Lower Pine Creek ,43.00657,-109.75893,2865.1,EKPW4
469,MT,Emery Creek ,Flathead,Hungry Horse Creek ,,,,
470,OR,Emigrant Springs ,Umatilla,Iskuulpa Creek ,45.55808,-118.45383,1158.2,ESPO3
471,ID,Emigrant Summit ,Bear Lake,Williams Creek ,42.36055,-111.56085,2252.5,EMSI1
472,WY,Evening Star ,Park,Upper Sunlight Creek ,44.65258,-109.78422,2804.2,EVNW4
473,CA,Fallen Leaf ,El Dorado,Fallen Leaf Lake-Frontal Lake Tahoe ,38.93403,-120.0545,1902.3,FLFC1
474,UT,Farmington ,Davis,Farmington Creek-Frontal Farmington Bay ,40.97462,-111.80975,2408.2,FMNU1
475,UT,Farnsworth Lake ,Sevier,Gooseberry Creek ,38.77246,-111.67662,2932.8,FRLU1
476,NV,Fawn Creek ,Elko,Fawn Creek-Owyhee River ,41.82098,-116.10153,2142.4,FWCN2
477,OR,Fish Creek ,Harney,Fish Creek ,42.70992,-118.6321,2334.8,FCKO3
478,WA,Fish Lake ,Kittitas,Headwaters Cle Elum River ,47.53565,-121.08553,1045.5,FISW1
479,OR,Fish Lk. ,Jackson,Upper North Fork Little Butte Creek ,42.3801,-122.34943,1420.4,FISO3
480,MT,Fisher Creek ,Park,Broadwater Creek-Clarks Fork Yellowstone River ,45.06235,-109.94488,2773.7,FSHM8
481,UT,Five Points Lake ,Duchesne,Garfield Creek ,40.71785,-110.46721,3334.8,FPLU1
482,MT,Flattop Mtn. ,Flathead,McDonald Creek Headwaters ,48.80225,-113.85713,1920.2,FTMM8
483,OR,Fourmile Lake ,Klamath,Upper Fourmile Creek ,42.43933,-122.2288,1819.7,FRLO3
484,ID,Franklin Basin ,Franklin,Upper Cub River ,42.0505,-111.6012,2480.8,FBNI1
485,CO,Fremont Pass ,Summit,Upper Tenmile Creek ,39.37991,-106.19681,3474.7,FMTC2
486,NM,Frisco Divide ,Catron,Stone Creek-San Francisco River ,33.73646,-108.94502,2438.4,FRDN5
487,MT,Frohner Meadow ,Jefferson,Lump Gulch ,46.43545,-112.19277,1975.1,FRHM8
488,AZ,Fry ,Coconino,Fry Canyon ,35.07297,-111.84374,2194.6,FRYA3
489,ID,Galena ,Blaine,Headwaters Big Wood River ,43.87722,-114.6725,2276.9,GLNI1
490,ID,Galena Summit ,Blaine,Headwaters Big Wood River ,43.87497,-114.71363,2676.1,GLSI1
491,NM,Gallegos Peak ,Taos,Headwaters Rio Grande de Rancho ,36.19446,-105.55795,2987,GLGN5
492,ID,Garfield R.S. ,Blaine,Upper Muldoon Creek ,43.6104,-113.9308,1999.5,GARI1
493,ID,Giveout ,Bear Lake,Upper Montpelier Creek ,42.4132,-111.1663,2112.3,GIVI1
494,OR,Gold Center ,Grant,Bull Run Creek ,44.7638,-118.3117,1649,GLDO3
495,UT,Gooseberry RS ,Sevier,Gooseberry Creek ,38.80034,-111.68333,2421,GOOU1
496,ID,Graham Guard Sta. ,Elmore,Big Silver Creek-North Fork Boise River ,43.9538,-115.27387,1734.3,GGSI1
497,WY,Granite Creek ,Teton,Lower Granite Creek ,43.34298,-110.43495,2063.5,GRCW4
498,NV,Granite Peak ,Humboldt,Indian Creek ,41.67032,-117.56668,2591.1,GRPN2
499,WY,Grassy Lake ,Teton,Calf Creek-Fall River ,44.12612,-110.83435,2214.4,GRSW4
500,MT,Grave Creek ,Flathead,Canada ,48.91453,-114.7663,1310.6,GRCM8
501,WY,Grave Springs ,Natrona,Upper Buffalo Creek ,43.46643,-107.23977,2606,GVSW4
502,WA,Green Lake ,Yakima,Headwaters North Fork Ahtnum Creek ,46.54741,-121.17093,1804.4,GRLW1
503,NV,Green Mountain ,Elko,Corral Creek ,40.3848,-115.52757,2494.5,GRMN2
504,OR,Greenpoint ,Hood River,Lower West Fork Hood River ,45.62237,-121.70415,1008.9,GRPO3
505,CO,Grizzly Peak ,Summit,North Fork Snake River ,39.64631,-105.86973,3383.3,GZPC2
506,WY,Gros Ventre Summit ,Teton,Kinky Creek-Gros Ventre River ,43.38877,-110.12947,2667,GRVW4
507,WA,Grouse Camp ,Kittitas,Upper Naneum Creek ,47.28107,-120.48771,1642.9,GRCW1
508,CA,Hagans Meadow ,El Dorado,Trout Creek ,38.8519,-119.9374,2359.5,HGNC1
509,WY,Hams Fork ,Lincoln,West Beaver Creek-Hams Fork ,42.146,-110.67833,2389.6,HMKW4
510,MT,Hand Creek ,Flathead,Squaw Meadows Creek ,48.30754,-114.84075,1534.7,HANM8
511,AZ,Hannagan Meadows ,Greenlee,Upper Beaver Creek ,33.65387,-109.30952,2749.3,HNMA3
512,WY,Hansen Sawmill ,Johnson,Upper South Clear Creek ,44.25602,-106.97983,2548.1,HNSW4
513,UT,Lakefork Basin ,Duchesne,Ottoson Creek-Lake Fork Creek ,,,,
514,UT,Harris Flat ,Kane,Swains Creek ,37.48997,-112.57602,2374.7,HRSU1
515,WA,Harts Pass ,Okanogan,Canada ,48.71047,-120.6586,1978.2,HRPW1
516,MT,Hawkins Lake ,Lincoln,Canada ,48.9723,-115.95337,1966,HAWM8
517,UT,Hayden Fork ,Summit,Hayden Fork ,40.79669,-110.88472,2782.2,HFKU1
518,CA,Heavenly Valley ,El Dorado,Trout Creek ,38.92431,-119.91641,2600.9,HVNC1
519,AZ,Heber ,Coconino,West Fork Black Canyon ,34.31202,-110.75431,2328.7,HBEA3
520,ID,Hemlock Butte ,Clearwater,French Creek ,46.48111,-115.63361,1770.9,HEMI1
521,UT,Hewinta ,Summit,West Fork Smiths Fork ,40.95009,-110.48419,2895.3,HEWU1
522,UT,Hickerson Park ,Daggett,Horseshoe Canyon-Green River ,40.90663,-109.96287,2780.1,HPSU1
523,OR,High Ridge ,Umatilla,Buck Creek-South Fork Umatilla River ,45.69682,-118.10657,1499.6,HIRO3
524,ID,Hilts Creek ,Custer,Upper Wet Creek ,44.01897,-113.4723,2438.4,HLTI1
525,WY,Hobbs Park ,Fremont,Sand Creek ,42.86984,-109.09455,3078.5,HBBW4
526,OR,Hogg Pass ,Linn,Parks Creek-Lost Lake ,44.42042,-121.85655,1460,HOPO3
527,NV,Hole-in-Mountain ,Elko,Winchell Creek-The Slough ,40.94168,-115.0954,2487.5,HIMN2
528,UT,Hole-in-Rock ,Summit,Lower Upper Marsh Creek ,40.92167,-110.18623,2794.1,HIRU1
529,OR,Holland Meadows ,Lane,Layng Creek ,43.66917,-122.56877,1502.7,HLMO3
530,MT,Hoodoo Basin ,Mineral,Upper Trout Creek ,46.9751,-115.0349,1844,HOOM8
531,CO,Hoosier Pass ,Summit,Headwaters Blue River ,39.36127,-106.26348,3474.7,HOOC2
532,NM,Hopewell ,Rio Arriba,Jarosa Creek-Rio Vallecitos ,36.71631,-106.26348,3048,HPWN5
533,UT,Horse Ridge ,Morgan,Blue Fork Creek ,41.31372,-111.44624,2498.8,HRGU1
534,ID,Howell Canyon ,Cassia,Howell Creek ,42.32111,-113.61556,2432.3,HWCI1
535,ID,Humboldt Gulch ,Shoshone,Canyon Creek-Upper South Fork Coeur d'Alene River ,47.06565,-115.77643,1295.4,HUGI1
537,ID,Hyndman ,Blaine,Hyndman Creek ,43.71058,-114.15893,2267.7,HYNI1
538,CO,Idarado ,Ouray,Red Mountain Creek ,37.9339,-107.67552,2987,IDRC2
539,CA,Independence Camp ,Sierra,Independence Creek ,39.45269,-120.29367,2127.2,ICPC1
540,CA,Independence Creek ,Sierra,Independence Creek ,39.49001,-120.28226,1961.4,ICKC1
